COMPANY,ADDRESS,LATITUDE,LONGITUDE,CO TPY,NOX TPY,Pb TPY,SO2 TPY,VOC TPY,PM10 TPY,PM2.5 TPY
WASTE MANAGEMENT OF TEXAS  INC,"WASTE MANAGEMENT OF TEXAS  INC,ELLIS,TEXAS,USA",32.2619765,-96.83509989999999,95.09,31.18,0.0,28.74,11.1926,52.1,31.361
QUALICO STEEL CO INC,"QUALICO STEEL CO INC,ELLIS,TEXAS,USA",32.455363,-97.058566,0,0,0.0,0,10.4354,0.0001,0.0001
MIDLOTHIAN ENERGY LLC,"MIDLOTHIAN ENERGY LLC,ELLIS,TEXAS,USA",32.475335,-97.01031809999999,726.4997,232.8111,0.0,9.0638,14.0207,101.4478,101.4478
ENNIS POWER COMPANY LLC,"ENNIS POWER COMPANY LLC,ELLIS,TEXAS,USA",32.3202927,-96.6753451,63.1648,93.365,0.0,2.105,15.4974,21.9599,21.9599
ENERGY TRANSFER FUEL LP,"ENERGY TRANSFER FUEL LP,ELLIS,TEXAS,USA",27.7501613,-98.0698233,5.5136,10.9046,0.0,0.0695,5.7701,1.1833,1.1833
SOUTHERN FRAC LLC,"SOUTHERN FRAC LLC,ELLIS,TEXAS,USA",32.371457,-96.84330399999999,0,0,0.0,0,4.9852,0.0687,0
BARNETT GATHERING LLC,"BARNETT GATHERING LLC,ELLIS,TEXAS,USA",32.7517009,-97.3305803,6.2249,2.7943,0.0,0.0203,5.8726,0.5618,0.5618
TRIUMPH AEROSTRUCTURES LLC,"TRIUMPH AEROSTRUCTURES LLC,ELLIS,TEXAS,USA",32.5291183,-96.79718249999999,1.9899,2.369,0.0,0.0141,5.0209,0.1799,0.1799
CABINET SPECIALISTS LLC,"CABINET SPECIALISTS LLC,ELLIS,TEXAS,USA",32.385402,-96.84719299999999,0,0,0.0,0,17.6376,0.0478,0.0478
BOMBARDIER US AEROSTRUCTURES LLC,"BOMBARDIER US AEROSTRUCTURES LLC,ELLIS,TEXAS,USA",32.5275994,-96.7991952,0.0528,0.0629,0.0,0.0004,10.8027,0.0048,0.0048
SHARKA LLC,"SHARKA LLC,ELLIS,TEXAS,USA",32.2619765,-96.83509989999999,0.3529,1.058,0.0,0.0035,0.0805,0.1109,0.0357
VINTON STEEL LLC,"VINTON STEEL LLC,EL PASO,TEXAS,USA",31.9580145,-106.5874513,898.036,158.71,0.049,8.888,22.399,13.8187,11.0247
WESTERN REFINING COMPANY LCC,"WESTERN REFINING COMPANY LCC,EL PASO,TEXAS,USA",31.7802901,-106.3983613,100.4605,356.7032,0.0029,57.2384,479.1797,74.5766,41.9209
US DEPT OF THE ARMY,"US DEPT OF THE ARMY,EL PASO,TEXAS,USA",31.7618778,-106.4850217,34.528,45.112,0.0,0.3068,35.8683,7.4336,4.7814
EL PASO ELECTRIC COMPANY,"EL PASO ELECTRIC COMPANY,EL PASO,TEXAS,USA",31.7591601,-106.485421,235.8111,1452.5707,0.0,8.8714,117.3437,68.0457,63.2456
HOLLY ENERGY PARTNERS-OPERATING LP,"HOLLY ENERGY PARTNERS-OPERATING LP,EL PASO,TEXAS,USA",31.762607,-106.3792009,0,0,0.0,0,34.5337,0,0
PHELPS DODGE REFINING CORPORATION,"PHELPS DODGE REFINING CORPORATION,EL PASO,TEXAS,USA",31.762607,-106.3792009,131.9101,51.563,0.0037,36.3948,2.8568,27.7893,21.3329
W SILVER INC,"W SILVER INC,EL PASO,TEXAS,USA",31.9736926,-106.607268,8.1759,9.7332,0.0,0.0584,5.1617,0.8672,0.5547
EL PASO NATURAL GAS COMPANY LLC,"EL PASO NATURAL GAS COMPANY LLC,EL PASO,TEXAS,USA",31.97355079999999,-106.4084908,41.1716,310.6767,0.0,2.7179,6.2837,5.2759,5.2759
TONY LAMA COMPANY,"TONY LAMA COMPANY,EL PASO,TEXAS,USA",31.7636014,-106.3744421,0.0002,0.0003,0.0,0,6.5897,0.054,0
NUSTAR LOGISTICS LP,"NUSTAR LOGISTICS LP,EL PASO,TEXAS,USA",31.7807646,-106.432875,1.59,7.95,0.0,0,25.7561,0.02,0.02
DAL-TILE CORPORATION,"DAL-TILE CORPORATION,EL PASO,TEXAS,USA",31.9544521,-106.3555036,19.87,22.19,0.0,1.45,4.12,55.76,19.51
MAGELLAN PIPELINE TERMINALS LP,"MAGELLAN PIPELINE TERMINALS LP,EL PASO,TEXAS,USA",31.7969455,-106.3955348,3.9429,5.0189,0.0,0.0842,52.0438,0.1919,0.0644
CAREFUSION LLC,"CAREFUSION LLC,EL PASO,TEXAS,USA",31.7618778,-106.4850217,0,0,0.0,0,13.3616,0,0
AIR SYSTEM COMPONENTS LP,"AIR SYSTEM COMPONENTS LP,EL PASO,TEXAS,USA",31.673403,-106.195981,0.425,0.505,0.0,0.003,7.148,0.0393,0.0393
VEOLIA NORTH AMERICA REGENERATION SERVICES LLC,"VEOLIA NORTH AMERICA REGENERATION SERVICES LLC,EL PASO,TEXAS,USA",31.7618778,-106.4850217,0.3399,15.448,0.0,52.1311,0.7897,1.1495,0.739
FIBERGRATE COMPOSITE STRUCTURES INC,"FIBERGRATE COMPOSITE STRUCTURES INC,ERATH,TEXAS,USA",32.2196388,-98.1827316,0.294,0.35,0.0,0.0021,23.5474,1.2352,0.0267
COLT G & P NORTH TEXAS LP,"COLT G & P NORTH TEXAS LP,ERATH,TEXAS,USA",32.17934040000001,-98.2212979,6.9854,18.3906,0.0,0.0128,8.3528,0.8263,0.8263
ETC TEXAS PIPELINE LTD,"ETC TEXAS PIPELINE LTD,FANNIN,TEXAS,USA",28.6968366,-97.23669319999999,0.2823,0.9861,0.0,0.0037,0.7945,0.0654,0.0654
LOWER COLORADO RIVER AUTHORITY,"LOWER COLORADO RIVER AUTHORITY,FAYETTE,TEXAS,USA",29.8896442,-96.83509989999999,6029.6393,5677.6821,0.1128,913.9466,30.0466,716.075,694.0921
DCP OPERATING COMPANY LP,"DCP OPERATING COMPANY LP,FAYETTE,TEXAS,USA",29.8896442,-96.83509989999999,160.357,290.9023,0.0,0.4363,93.3953,7.5545,7.5545
ETC TEXAS PIPELINE LTD,"ETC TEXAS PIPELINE LTD,FAYETTE,TEXAS,USA",29.8896442,-96.83509989999999,71.9668,278.925,0.0,52.2214,29.696,7.3171,7.3171
ETC TEXAS PIPELINE LTD,"ETC TEXAS PIPELINE LTD,FISHER,TEXAS,USA",29.9768804,-98.26584679999999,15.5259,100.3601,0.0,15.2617,23.6241,2.1211,2.1211
FLOYDADA COOPERATIVE GINS INC,"FLOYDADA COOPERATIVE GINS INC,FLOYD,TEXAS,USA",33.989479,-101.3380508,1.94,2.31,0.0,0.01,0.13,18.5,1.33
ARCHER DANIELS MIDLAND COMPANY,"ARCHER DANIELS MIDLAND COMPANY,FORT BEND,TEXAS,USA",29.5692614,-95.81428849999999,0.39,3.93,0.0,0.02,54.1,74.7521,16.2705
NRG TEXAS POWER LLC,"NRG TEXAS POWER LLC,FORT BEND,TEXAS,USA",29.5692614,-95.81428849999999,2976.5223,3984.989,0.0373,23865.794,108.905,1104.3087,1021.2812
CHAMPIONX LLC,"CHAMPIONX LLC,FORT BEND,TEXAS,USA",29.5692614,-95.81428849999999,7.4893,5.843,0.0,0.0433,8.7981,6.0626,6.0619
NOURYON SURFACE CHEMISTRY LLC,"NOURYON SURFACE CHEMISTRY LLC,FORT BEND,TEXAS,USA",29.5692614,-95.81428849999999,7.9414,3.1059,0.0,0.1861,15.4606,8.7308,0.7374
FRITO LAY INC,"FRITO LAY INC,FORT BEND,TEXAS,USA",29.5765557,-95.8682541,8.0447,19.9566,0.0,0.1068,2.4344,11.8089,9.1702
NALCO PRODUCTION LLC,"NALCO PRODUCTION LLC,FORT BEND,TEXAS,USA",29.5692614,-95.81428849999999,1.5772,1.0792,0.0,0.0182,2.3517,0.1996,0.1555
CROWN CORK & SEAL USA INC,"CROWN CORK & SEAL USA INC,FORT BEND,TEXAS,USA",29.5692614,-95.81428849999999,4.3976,5.2358,0.0,0.0426,82.0239,0.5903,0.5903
HUDSON PRODUCTS CORPORATION,"HUDSON PRODUCTS CORPORATION,FORT BEND,TEXAS,USA",29.4806478,-95.9586176,0.8295,1.0736,0.0,0.0092,40.1254,8.1769,5.2026
ENSTOR KATY STORAGE AND TRANSPORTATION LP,"ENSTOR KATY STORAGE AND TRANSPORTATION LP,FORT BEND,TEXAS,USA",29.7520628,-95.80354559999999,4.7366,16.4047,0.0,0.378,14.037,0.6278,0.6278
PITTSBURGH CORNING LLC,"PITTSBURGH CORNING LLC,FORT BEND,TEXAS,USA",29.5692614,-95.81428849999999,62.5533,0.6562,0.0,0.1576,1.564,1.546,0.3477
BLUE RIDGE LANDFILL TX LP,"BLUE RIDGE LANDFILL TX LP,FORT BEND,TEXAS,USA",29.5559222,-95.4516913,7.26,2.14,0.0,4.866,28.565,37.299,20.448
JACK A FUSCO ENERGY CENTER LLC,"JACK A FUSCO ENERGY CENTER LLC,FORT BEND,TEXAS,USA",29.5692614,-95.81428849999999,143.6181,154.9311,0.0,7.4734,20.6362,69.08,67.5084
ORO RESOURCES LLC,"ORO RESOURCES LLC,FORT BEND,TEXAS,USA",29.5692614,-95.81428849999999,1.3669,1.0421,,0.0036,10.1366,0.0469,0.0469
FORT BEND REGIONAL LANDFILL LP,"FORT BEND REGIONAL LANDFILL LP,FORT BEND,TEXAS,USA",29.3963636,-95.7252512,6.174,3.07,0.0,1.83,25.479,19.51,10.11
HAMMAN OIL & REFINING CO,"HAMMAN OIL & REFINING CO,FORT BEND,TEXAS,USA",29.5692614,-95.81428849999999,0.2323,0.2765,0.0,0.0017,6.8352,0.021,0.021
HILCORP ENERGY COMPANY,"HILCORP ENERGY COMPANY,FORT BEND,TEXAS,USA",29.5692614,-95.81428849999999,0.5411,0.6441,0.0,0.0039,7.1596,0.0489,0.0489
WEST TEXAS GULF PIPELINE CO,"WEST TEXAS GULF PIPELINE CO,FREESTONE,TEXAS,USA",31.5423947,-96.2480265,0,0,0.0,0,26.8736,0,0
MIDCOAST G & P EAST TEXAS LP,"MIDCOAST G & P EAST TEXAS LP,FREESTONE,TEXAS,USA",31.7062885,-96.16452989999999,32.9674,35.5089,0.0,0.0395,6.4738,4.4781,4.1623
FREESTONE POWER GENERATION LP,"FREESTONE POWER GENERATION LP,FREESTONE,TEXAS,USA",31.5423947,-96.2480265,161.2757,716.067,0.0,14.6137,10.6398,73.5716,70.3985
LEGACY RESERVES OPERATING LP,"LEGACY RESERVES OPERATING LP,FREESTONE,TEXAS,USA",31.7534889,-96.15269850000001,8.275,50.383,0.0,0.152,8.9687,0.026,0.026
ENERGY TRANSFER FUEL LP,"ENERGY TRANSFER FUEL LP,FREESTONE,TEXAS,USA",31.7534889,-96.15269850000001,16.177,45.9311,0.0,0.1662,34.7996,2.8224,2.8224
SOUTH TEXAS ELECTRIC COOPERATIVE  INC,"SOUTH TEXAS ELECTRIC COOPERATIVE  INC,FRIO,TEXAS,USA",28.9246141,-99.08800699999999,2.0492,15.5525,0.0,0.5805,8.9497,33.1535,33.1534
FRIO LASALLE PIPELINE LP,"FRIO LASALLE PIPELINE LP,FRIO,TEXAS,USA",28.831355,-99.1013498,57.5314,67.225,0.0,1.2204,50.1624,3.2656,3.2637
OASIS GIN INC,"OASIS GIN INC,GAINES,TEXAS,USA",32.6220291,-102.9144113,2.62,3.12,0.0,0.02,0.17,33.39,2.89
TEN HI GIN INC,"TEN HI GIN INC,GAINES,TEXAS,USA",32.88492,-102.4664,1,1.19,0.0,0.01,0.07,11.48,0.83
OXY USA INC,"OXY USA INC,GAINES,TEXAS,USA",32.6987519,-102.7135121,1756.31,737.74,0.0,335.91,29.61,39.63,28.51
ONEOK TEXAS GAS STORAGE LLC,"ONEOK TEXAS GAS STORAGE LLC,GAINES,TEXAS,USA",32.6987519,-102.7135121,63.099,45.672,0.0,0.0528,7.4198,1.4111,1.4111
DCP OPERATING COMPANY LP,"DCP OPERATING COMPANY LP,GAINES,TEXAS,USA",32.6987519,-102.7135121,28.7924,124.8075,0.0,0.0836,15.1627,0.4594,0.4594
PHILLIPS 66 PIPELINE LLC,"PHILLIPS 66 PIPELINE LLC,GAINES,TEXAS,USA",32.6987519,-102.7135121,22.0417,33.5177,0.0,0.0232,11.849,0.0031,0.0031
NORTHERN NATURAL GAS CO,"NORTHERN NATURAL GAS CO,GAINES,TEXAS,USA",32.5795503,-102.6680061,0.0265,0.051,0.0,0.0004,4.0134,0.0055,0.0055
XTO ENERGY INC,"XTO ENERGY INC,GAINES,TEXAS,USA",32.8771476,-102.9119423,2.9,1.57,0.0,27.95,19.1,0.17,0.15
INEOS US CHEMICALS COMPANY,"INEOS US CHEMICALS COMPANY,GALVESTON,TEXAS,USA",29.3013479,-94.7976958,82.359,57.0417,0.0,0.3631,79.6361,9.1958,9.0847
BLANCHARD REFINING COMPANY LLC,"BLANCHARD REFINING COMPANY LLC,GALVESTON,TEXAS,USA",29.3013479,-94.7976958,1246.5855,1454.9306,0.0071,745.6006,1546.0117,371.3586,335.4301
BWC TEXAS CITY TERMINAL INC,"BWC TEXAS CITY TERMINAL INC,GALVESTON,TEXAS,USA",29.37520409999999,-94.8984746,8.503,3.4243,0.0,1.2905,60.201,0.6914,0.6914
ENTERPRISE CRUDE PIPELINE LLC,"ENTERPRISE CRUDE PIPELINE LLC,GALVESTON,TEXAS,USA",29.3013479,-94.7976958,0.4529,0.5045,0.0,0.0328,21.7849,0.0369,0.0369
GULF SULPHUR SERVICES LTD LLLP,"GULF SULPHUR SERVICES LTD LLLP,GALVESTON,TEXAS,USA",29.303722,-94.8194984,10.3318,3.9494,0.0,2.9575,0.7355,9.2268,0.9348
ISP TECHNOLOGIES INC,"ISP TECHNOLOGIES INC,GALVESTON,TEXAS,USA",29.4278064,-94.9696397,28.6152,10.7559,0.0,0.2233,39.5899,11.4424,11.1502
GULF COAST AUTHORITY,"GULF COAST AUTHORITY,GALVESTON,TEXAS,USA",29.351612,-94.9184112,0,0,0.0,0,12.4903,0,0
PHR HOLDINGS LLC,"PHR HOLDINGS LLC,GALVESTON,TEXAS,USA",29.3013479,-94.7976958,38.5387,91.929,0.0,0.4686,1.6828,5.1693,3.7176
CALUMET DICKINSON REFINING LLC,"CALUMET DICKINSON REFINING LLC,GALVESTON,TEXAS,USA",29.4606252,-95.04383639999999,2.7516,3.512,0.0,0.0265,22.5937,13.369,13.369
MARATHON PETROLEUM COMPANY LP,"MARATHON PETROLEUM COMPANY LP,GALVESTON,TEXAS,USA",29.3013479,-94.7976958,186.8529,98.7874,0.0014,29.7997,126.8806,50.3549,44.0357
EASTMAN CHEMICAL TEXAS CITY INC,"EASTMAN CHEMICAL TEXAS CITY INC,GALVESTON,TEXAS,USA",29.3810602,-94.89370219999999,19.4968,16.5406,0.0,0.1638,14.8754,13.4692,3.1695
DALLAS GROUP OF AMERICA INC,"DALLAS GROUP OF AMERICA INC,GALVESTON,TEXAS,USA",29.3751827,-94.89989179999999,9.1839,10.9332,0.0,0.0656,1.1909,2.1536,1.7352
VALERO REFINING-TEXAS LP,"VALERO REFINING-TEXAS LP,GALVESTON,TEXAS,USA",29.3013479,-94.7976958,172.0787,433.2986,0.0464,93.8592,587.5398,217.4723,170.1092
UNION CARBIDE CORPORATION,"UNION CARBIDE CORPORATION,GALVESTON,TEXAS,USA",29.3013479,-94.7976958,209.4809,76.8603,0.0005,1.2912,120.6159,32.9794,32.9794
OILTANKING TEXAS CITY LP,"OILTANKING TEXAS CITY LP,GALVESTON,TEXAS,USA",29.3013479,-94.7976958,42.5113,4.9655,0.0,0.0448,72.0167,0.0006,0.0006
UNIVERSITY OF TEXAS MEDICAL BRANCH AT GALVESTON,"UNIVERSITY OF TEXAS MEDICAL BRANCH AT GALVESTON,GALVESTON,TEXAS,USA",29.3116372,-94.7775436,16.99,15.655,0.0,2.5711,2.3144,4.018,3.978
PELICAN ISLAND STORAGE TERMINAL LLC,"PELICAN ISLAND STORAGE TERMINAL LLC,GALVESTON,TEXAS,USA",29.3154706,-94.8110074,0.4089,1.4209,0.0,0.0201,14.7773,0.2546,0.2546
TEXAS INTERNATIONAL TERMINALS LTD,"TEXAS INTERNATIONAL TERMINALS LTD,GALVESTON,TEXAS,USA",29.3002852,-94.8252201,5.4201,6.1056,0.0,0.3293,22.43,7.2395,6.5882
TEXAS CITY COGENERATION LLC,"TEXAS CITY COGENERATION LLC,GALVESTON,TEXAS,USA",29.383845,-94.9027002,145.8415,422.7663,0.0,5.6046,22.081,61.176,55.6088
GALVESTON COUNTY LANDFILL TX LP,"GALVESTON COUNTY LANDFILL TX LP,GALVESTON,TEXAS,USA",29.3013479,-94.7976958,55.68,11.33,0.0,59.25,9.918,15.4202,9.0301
LINDE INC,"LINDE INC,GALVESTON,TEXAS,USA",29.3013479,-94.7976958,230.56,17.4685,0.0,0.0245,2.8593,2.04,2.04
EMERALD GATHERING & TRANSPORTATION LLC,"EMERALD GATHERING & TRANSPORTATION LLC,GALVESTON,TEXAS,USA",29.3013479,-94.7976958,1.3614,0.6078,0.0,0,12.5152,0.1028,0.1028
KINDER MORGAN TEJAS PIPELINE LLC,"KINDER MORGAN TEJAS PIPELINE LLC,GALVESTON,TEXAS,USA",29.3013479,-94.7976958,0.7171,4.5254,0.0,0.0173,11.7684,0.2887,0.2887
WEST GULF MARINE LTD,"WEST GULF MARINE LTD,GALVESTON,TEXAS,USA",29.297396,-94.8432322,0,0,0.0,0,14.4,0.0007,0.0001
WASTE MANAGEMENT OF TEXAS INC,"WASTE MANAGEMENT OF TEXAS INC,GALVESTON,TEXAS,USA",29.3013479,-94.7976958,75.024,13.81,0.0,26.501,14.9448,15.081,10.081
TX LFG ENERGY LP,"TX LFG ENERGY LP,GALVESTON,TEXAS,USA",29.3013479,-94.7976958,0,0,0.0,0,0,0,0
SAWTOOTH OPERATING COMPANY INC,"SAWTOOTH OPERATING COMPANY INC,GALVESTON,TEXAS,USA",29.3013479,-94.7976958,3.9927,1.3461,0.0,0.0098,3.8385,0.269,0.269
HHE ENERGY CO,"HHE ENERGY CO,GALVESTON,TEXAS,USA",29.3013479,-94.7976958,5.8682,1.6517,0.0,0.008,16.2824,0.1245,0.1245
SOUTH HOUSTON GREEN POWER LLC,"SOUTH HOUSTON GREEN POWER LLC,GALVESTON,TEXAS,USA",29.3617677,-94.982978,76.8423,265.5007,0.0,105.9966,14.7009,163.0023,158.2932
INEOS STYROLUTION AMERICA LLC,"INEOS STYROLUTION AMERICA LLC,GALVESTON,TEXAS,USA",29.3590419,-94.9293701,2.8458,67.9826,0.0,0.8016,29.3302,9.8163,9.8163
SWS HOLDINGS BRADY ISLAND LP,"SWS HOLDINGS BRADY ISLAND LP,GALVESTON,TEXAS,USA",29.3013479,-94.7976958,0,0,0.0,0,7.5709,0.1967,0.1967
OILTANKING GALVESTON COUNTY LLC,"OILTANKING GALVESTON COUNTY LLC,GALVESTON,TEXAS,USA",29.3013479,-94.7976958,2.7766,0.539,0.0,0.0047,20.5124,0.0001,0
GENESIS TEXAS CITY TERMINAL LLC,"GENESIS TEXAS CITY TERMINAL LLC,GALVESTON,TEXAS,USA",29.37520409999999,-94.8984746,0,0,0.0,0,13.0107,0,0
ENTERPRISE PRODUCTS OPERATING LLC,"ENTERPRISE PRODUCTS OPERATING LLC,GLASSCOCK,TEXAS,USA",31.912308,-101.6157773,10.8339,74.3995,0.0,1.1165,6.2701,2.1673,2.1673
CORONADO MIDSTREAM LLC,"CORONADO MIDSTREAM LLC,GLASSCOCK,TEXAS,USA",31.912308,-101.6157773,39.048,43.7576,0.0,28.3335,18.3624,3.2447,3.2447
DCP OPERATING COMPANY LP,"DCP OPERATING COMPANY LP,GLASSCOCK,TEXAS,USA",31.912308,-101.6157773,123.3392,52.415,0.0,64.3774,30.2568,7.4031,7.4031
ETC TEXAS PIPELINE LTD,"ETC TEXAS PIPELINE LTD,GLASSCOCK,TEXAS,USA",31.912308,-101.6157773,122.149,159.3023,0.0,54.6662,82.2947,12.4635,12.4635
TARGA PIPELINE MID-CONTINENT WESTTEX LLC,"TARGA PIPELINE MID-CONTINENT WESTTEX LLC,GLASSCOCK,TEXAS,USA",31.912308,-101.6157773,18.9973,49.0228,0.0,0.2369,20.1814,4.03,4.03
GLASSCOCK COUNTY GIN,"GLASSCOCK COUNTY GIN,GLASSCOCK,TEXAS,USA",31.912308,-101.6157773,0.16,1.17,0.0,0.02,0.04,11.69,0.78
NAVITAS MIDSTREAM MIDLAND BASIN LLC,"NAVITAS MIDSTREAM MIDLAND BASIN LLC,GLASSCOCK,TEXAS,USA",31.9973456,-102.0779146,93.2131,107.9442,0.0,18.1009,94.9075,10.5995,10.5995
XTO ENERGY INC,"XTO ENERGY INC,GLASSCOCK,TEXAS,USA",31.912308,-101.6157773,15,27.71,0.0,0.23,56.154,3.08,3.08
COLETO CREEK POWER LLC,"COLETO CREEK POWER LLC,GOLIAD,TEXAS,USA",28.7149438,-97.2140615,2038.3931,1966.7002,0.0417,7943.3,31.7829,266.8038,140.9607
DCP OPERATING COMPANY LP,"DCP OPERATING COMPANY LP,GOLIAD,TEXAS,USA",28.6683252,-97.38832649999999,57.9412,117.462,0.0,11.4007,61.5058,10.7368,10.7368
ETC TEXAS PIPELINE LTD,"ETC TEXAS PIPELINE LTD,GRAY,TEXAS,USA",32.7876413,-94.0735169,15.5041,90.5537,0.0,0.1618,38.3203,2.6746,2.6746
CABOT CORPORATION,"CABOT CORPORATION,GRAY,TEXAS,USA",35.5099852,-101.0143537,1539.4714,247.4807,0.0,762.7298,53.2088,35.1633,33.0997
TRANSWESTERN PIPELINE  COMPANY,"TRANSWESTERN PIPELINE  COMPANY,GRAY,TEXAS,USA",31.9685988,-99.9018131,9.4921,39.9915,0.0,0.4156,0.7962,0.776,0.776
CITY OF PAMPA,"CITY OF PAMPA,GRAY,TEXAS,USA",35.5361559,-100.9598709,0,0,0.0,0,2.59,2.92,0.49
NATURAL GAS PIPELINE CO OF AMERICA LLC,"NATURAL GAS PIPELINE CO OF AMERICA LLC,GRAY,TEXAS,USA",31.9685988,-99.9018131,7.283,27.357,0.0,0.031,0.221,0.512,0.512
W & W FIBERGLASS TANK COMPANY,"W & W FIBERGLASS TANK COMPANY,GRAY,TEXAS,USA",31.9685988,-99.9018131,0,0,0.0,0,0.8239,0.0359,0.0359
LONESTAR GIN LP,"LONESTAR GIN LP,GRAY,TEXAS,USA",35.4506874,-100.9829101,4.04,4.81,0.0,0.03,0.26,26.45,2.59
TEXOMA AREA SOLID WASTE AUTHORITY,"TEXOMA AREA SOLID WASTE AUTHORITY,GRAYSON,TEXAS,USA",33.6346282,-96.83342739999999,0,0,0.0,0,9.04,2.31,0.62
FLORESTONE LLC,"FLORESTONE LLC,GRAYSON,TEXAS,USA",33.7859595,-96.5501547,0.4594,0.5469,0.0,0.0033,4.0478,0.0422,0
GULF SOUTH PIPELINE COMPANY LLC,"GULF SOUTH PIPELINE COMPANY LLC,GRAYSON,TEXAS,USA",31.9685988,-99.9018131,0.2173,0.2734,0.0,0.0094,2.0847,0.501,0.0768
PANDA SHERMAN POWER LLC,"PANDA SHERMAN POWER LLC,GRAYSON,TEXAS,USA",33.5808259,-96.6160883,207.2802,64.8647,0.0,5.7485,35.061,21.3162,21.2765
ARI RAILCAR SERVICES LLC,"ARI RAILCAR SERVICES LLC,GREGG,TEXAS,USA",32.504553,-94.81200609999999,1.195,1.204,0.0,0.0114,17.8875,0.0798,0.0659
JGE GAS SOLUTIONS LP,"JGE GAS SOLUTIONS LP,GREGG,TEXAS,USA",32.5075484,-94.8549204,136.637,459.018,0.0,5.815,63.5728,32.4906,32.4906
JOY GLOBAL LONGVIEW OPERATIONS LLC,"JOY GLOBAL LONGVIEW OPERATIONS LLC,GREGG,TEXAS,USA",32.4579118,-94.73719489999999,3.8459,4.5071,0.0,0.0263,2.9167,0.3658,0.3625
EAGLE RAILCAR SERVICES-LONGVIEW TEXAS LLC,"EAGLE RAILCAR SERVICES-LONGVIEW TEXAS LLC,GREGG,TEXAS,USA",32.502179,-94.78894799999999,0.6495,0.8161,0.0,0.0046,17.249,0.06,0.0576
SOUTHWESTERN ELECTRIC POWER COMPANY,"SOUTHWESTERN ELECTRIC POWER COMPANY,GREGG,TEXAS,USA",32.4892547,-94.8520636,0.85,102.83,0.0004,0.51,4.7498,6.3504,6.35
SKEETER PRODUCTS INC,"SKEETER PRODUCTS INC,GREGG,TEXAS,USA",32.4052551,-94.8501597,0,0,0.0,0,68.9323,0.0539,0.0539
DELEK CRUDE LOGISTICS LLC,"DELEK CRUDE LOGISTICS LLC,GREGG,TEXAS,USA",32.4892547,-94.8520636,0,0,0.0,0,4.8875,0,0
MID VALLEY PIPELINE CO,"MID VALLEY PIPELINE CO,GREGG,TEXAS,USA",32.483104,-94.832309,0,0,0.0,0,19.3166,0,0
MIDCOAST G & P EAST TEXAS LP,"MIDCOAST G & P EAST TEXAS LP,GREGG,TEXAS,USA",32.5296637,-94.96995749999999,27.5177,97.701,0.0,3.1839,5.3512,2.7956,2.5093
NORRIS CYLINDER COMPANY,"NORRIS CYLINDER COMPANY,GREGG,TEXAS,USA",32.4727479,-94.7654805,2.9997,3.5712,0.0,0.0214,22.9251,3.5362,0.2716
GULF SOUTH PIPELINE COMPANY LLC,"GULF SOUTH PIPELINE COMPANY LLC,GREGG,TEXAS,USA",32.4892547,-94.8520636,0.896,7.7138,0.0,0.0208,12.7236,0.5088,0.3688
TEXAS EASTERN TRANSMISSION LP,"TEXAS EASTERN TRANSMISSION LP,GREGG,TEXAS,USA",32.4567396,-94.7086808,0.3684,0.3272,0.0,0.0011,8.2887,0.0151,0.0151
GENPAK LLC,"GENPAK LLC,GREGG,TEXAS,USA",32.4960471,-94.8159632,0.38,0.452,0.0,0.0027,27.749,0.405,0.405
XTO ENERGY INC,"XTO ENERGY INC,GREGG,TEXAS,USA",32.3990011,-94.8740696,10.352,20.782,0.0,0.209,10.9271,0.447,0.447
PERMIAN EXPRESS PARTNERS LLC,"PERMIAN EXPRESS PARTNERS LLC,GREGG,TEXAS,USA",32.4892547,-94.8520636,0,0,0.0,0,14.6237,0,0
TGNR EAST TEXAS LLC,"TGNR EAST TEXAS LLC,GREGG,TEXAS,USA",32.4041486,-94.8508183,13.16,31.8005,0.0,0.0891,13.8351,1.504,1.504
PINE HILL FARMS LANDFILL TX LP,"PINE HILL FARMS LANDFILL TX LP,GREGG,TEXAS,USA",32.6296446,-94.7252422,3.615,0.793,0.0,0.165,8.3217,8.0053,3.9008
NUCOR STEEL LONGVIEW LLC,"NUCOR STEEL LONGVIEW LLC,GREGG,TEXAS,USA",32.4597644,-94.7398456,192.3089,113.4806,0.2906,10.3105,17.1241,79.356,79.3558
NATIONAL OILWELL VARCO LP,"NATIONAL OILWELL VARCO LP,GRIMES,TEXAS,USA",30.3658841,-96.09137439999999,20.9836,27.9894,0.0,0.1525,26.4787,6.8839,6.8839
TENASKA FRONTIER PARTNERS LTD,"TENASKA FRONTIER PARTNERS LTD,GRIMES,TEXAS,USA",30.5927677,-95.9173126,327.8203,493.9891,0.0006,8.3009,38.0575,45.2535,33.422
ETC TEXAS PIPELINE LTD,"ETC TEXAS PIPELINE LTD,GRIMES,TEXAS,USA",30.4829853,-95.9832577,37.1873,87.2501,0.0,0.3059,47.6848,5.1952,5.1952
BRAZOS VALLEY SOLID WASTE MANAGEMENT AGENCY INC,"BRAZOS VALLEY SOLID WASTE MANAGEMENT AGENCY INC,GRIMES,TEXAS,USA",30.6017576,-96.15330499999999,0.045,0.115,0.0,0.007,17.305,27.037,11.527
STRUCTURAL METALS INC,"STRUCTURAL METALS INC,GUADALUPE,TEXAS,USA",29.5810631,-98.0238218,673.6873,121.5541,0.125,104.2307,41.5386,143.5066,115.5976
