COMPANY,ADDRESS,LATITUDE,LONGITUDE,CO TPY,NOX TPY,Pb TPY,SO2 TPY,VOC TPY,PM10 TPY,PM2.5 TPY
TPL SOUTHTEX PIPELINE COMPANY LLC,"TPL SOUTHTEX PIPELINE COMPANY LLC,BEE,TEXAS,USA",28.3624206,-97.69822719999999,78.2219,111.0651,0.0,0.5672,72.2691,8.195,8.195
FRIO LASALLE PIPELINE LLC,"FRIO LASALLE PIPELINE LLC,BEE,TEXAS,USA",28.3624206,-97.69822719999999,80.7971,85.5994,0.0,2.2634,67.0514,6.4913,6.4913
MARATHON EAGLE FORD MIDSTREAM LLC,"MARATHON EAGLE FORD MIDSTREAM LLC,BEE,TEXAS,USA",32.7848517,-96.9008376,18.9094,32.0294,0.0,0.1856,47.64,2.5412,2.5412
E R CARPENTER LP,"E R CARPENTER LP,BELL,TEXAS,USA",31.1228455,-97.3446585,3.2092,3.8304,0.0,0.0231,108.7664,0.7024,0.2905
PACTIV LLC,"PACTIV LLC,BELL,TEXAS,USA",31.134411,-97.5247243,0.676,3.22,0.0,0.025,340.6886,14.246,0.365
WASTE MANAGEMENT OF TEXAS  INC,"WASTE MANAGEMENT OF TEXAS  INC,BELL,TEXAS,USA",33.6103837,-96.4108188,109.065,20.47,0.0,3.319,8.467,21.081,10.941
BELCO MANUFACTURING COMPANY INC,"BELCO MANUFACTURING COMPANY INC,BELL,TEXAS,USA",31.051071,-97.43585399999999,0,0,0.0,0,40.41,0.936,0.936
AMERICAN ROCKWOOL MANUFACTURING LLC,"AMERICAN ROCKWOOL MANUFACTURING LLC,BELL,TEXAS,USA",31.0750156,-97.5712964,0,0,0.0,0,0,0,0
WILSONART LLC,"WILSONART LLC,BELL,TEXAS,USA",31.13115479999999,-97.341962,20.0489,51.2712,0.0,0.2449,37.4295,23.2235,2.7008
US DEPT OF THE ARMY,"US DEPT OF THE ARMY,BELL,TEXAS,USA",31.134411,-97.5247243,117.1639,40.362,0.2133,0.7223,11.3196,19.5601,13.2107
VIRON INTERNATIONAL CORPORATION,"VIRON INTERNATIONAL CORPORATION,BELL,TEXAS,USA",31.13269,-97.353481,0,0,0.0,0,5.45,0,0
TEMPLE GENERATION SF LLC,"TEMPLE GENERATION SF LLC,BELL,TEXAS,USA",31.0982344,-97.342782,307.9048,156.5819,0.0,12.9365,33.9004,51.6438,51.5644
JONES-BELL LLC,"JONES-BELL LLC,BELL,TEXAS,USA",31.134411,-97.5247243,0,0,0.0,0,18.215,0,0
REYNOLDS CONSUMER PRODUCTS LLC,"REYNOLDS CONSUMER PRODUCTS LLC,BELL,TEXAS,USA",31.1281719,-97.3405456,0.2059,0.3519,0.0,0.0107,0.5483,2.4579,0.101
CAPITOL AGGREGATES INC,"CAPITOL AGGREGATES INC,BEXAR,TEXAS,USA",29.329388,-98.7452349,556.3699,863.9269,0.0067,361.7697,51.1738,79.4637,46.757
CITY PUBLIC SERVICE BOARD,"CITY PUBLIC SERVICE BOARD,BEXAR,TEXAS,USA",29.3722978,-98.40711979999999,720.5004,3349.8155,0.0577,758.1322,58.0115,314.4696,197.0941
NUSTAR LOGISTICS LP,"NUSTAR LOGISTICS LP,BEXAR,TEXAS,USA",29.4200763,-98.5721016,11.2454,4.2931,0.0,0,41.0208,0.2333,0.2333
